1338,QO,SCL,WAW,M8000E,40,2023-05-27T21:35:0,-3,550,0
2246,MM,SCL,FRA,H8000M,73,2023-05-30T4:9:0,-4,788,0
3104,WL,EZE,FRA,W8000O,100,2023-05-8T14:59:0,-3,770,0
1637,HP,HND,WAW,N8000B,27,2023-05-29T1:59:0,-2,185,0
960,MD,MAD,EZE,S8000C,7,2023-05-28T15:3:0,-1,357,0
3328,GS,FRA,HND,D8000I,59,2023-05-27T21:26:0,1,573,0
1678,WN,BRC,GIG,V8000S,84,2023-05-24T10:32:0,3,209,0
1212,NC,AMS,GIG,X8000I,60,2023-05-19T12:22:0,1,945,0
1573,CG,FRA,MAD,X8000Z,29,2023-05-27T22:46:0,5,259,0
1704,FF,FRA,EZE,C8000A,63,2023-05-30T0:8:0,0,1113,0
952,QD,AMS,EZE,G8000T,43,2023-05-31T21:57:0,5,882,0
2185,HA,FRA,HND,M8000V,86,2023-05-30T17:1:0,-4,825,0
1792,FN,WAW,BRC,W8000Z,95,2023-05-4T3:20:0,-5,1147,0
147,XN,WAW,SCL,R8000U,48,2023-05-23T18:11:0,-1,1192,0
3376,DF,SCL,GIG,E8000N,100,2023-05-15T17:8:0,3,416,0
3074,VZ,GIG,BRC,E8000P,67,2023-05-6T21:48:0,-2,162,0
2360,OY,WAW,BRC,Q8000G,88,2023-05-19T1:8:0,-4,613,0
3303,WL,BRC,WAW,E8000K,23,2023-05-6T12:10:0,-5,1185,0
3069,HT,BRC,WAW,R8000W,11,2023-05-5T23:8:0,-1,110,0
2621,XB,MAD,SCL,H8000P,51,2023-05-14T13:37:0,-5,942,0
1928,JN,MAD,BRC,B8000X,66,2023-05-4T10:8:0,0,930,0
1418,KJ,FRA,EZE,A8000S,45,2023-05-19T23:43:0,5,466,0
635,DR,MAD,PRG,X8000G,18,2023-05-30T4:31:0,-2,704,0
566,CR,PRG,EZE,U8000R,26,2023-05-14T7:20:0,-1,1086,0
1105,IH,EZE,MAD,X8000P,89,2023-05-7T6:6:0,-5,1054,0
2550,XG,HND,EZE,G8000J,62,2023-05-30T5:58:0,-5,272,0
578,QD,WAW,EZE,N8000E,71,2023-05-9T13:0:0,-4,379,0
2450,KA,SCL,EZE,I8000B,85,2023-05-20T21:49:0,-5,101,0
920,TS,FRA,GIG,Z8000A,91,2023-05-11T1:20:0,2,1156,0
1945,MP,SCL,BRC,C8000L,83,2023-05-2T11:38:0,2,326,0
1820,MR,WAW,GIG,Y8000C,89,2023-05-14T10:21:0,3,345,0
1659,GF,EZE,WAW,D8000C,24,2023-05-10T9:13:0,0,528,0
2010,ZM,WAW,FRA,C8000U,42,2023-05-20T17:53:0,-2,776,0
2046,FL,WAW,AMS,B8000O,19,2023-05-16T23:17:0,-1,459,0
162,RA,GIG,WAW,Z8000K,18,2023-05-29T13:42:0,-4,401,0
2802,VR,AMS,SCL,U8000B,71,2023-05-10T0:28:0,2,824,0
1562,NR,BRC,HND,M8000S,65,2023-05-5T9:36:0,3,217,0
516,EV,GIG,BRC,M8000C,75,2023-05-28T22:43:0,-5,158,0
115,IB,GIG,SCL,L8000I,91,2023-05-18T11:46:0,-2,371,0
3453,MJ,WAW,EZE,N8000U,65,2023-05-1T12:58:0,-5,96,0
1082,SG,SCL,MAD,L8000L,62,2023-05-5T21:42:0,1,330,0
528,IP,EZE,MAD,C8000S,27,2023-05-8T18:8:0,2,417,0
3270,BC,SCL,HND,N8000F,61,2023-05-7T0:29:0,-3,708,0
3300,RI,WAW,FRA,E8000R,83,2023-05-22T11:50:0,-4,363,0
2811,LM,FRA,BRC,J8000E,45,2023-05-9T1:41:0,-5,744,0
